AlternateID,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Collector,CollectionDate,collection_year,CruiseID,Event ID,Haul,Station,Equipment_Gear,Locality,StartLatitude_N,StartLongitude_W
Norton10_323,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,65,Bottom Trawl,eastern Bering Sea,64.59,-168.59
Norton10_324,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,65,Bottom Trawl,eastern Bering Sea,64.59,-168.59
Norton10_325,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,65,Bottom Trawl,eastern Bering Sea,64.59,-168.59
Norton10_326,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_327,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_328,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_329,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_330,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_331,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_332,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_333,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_334,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_335,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,58,Bottom Trawl,eastern Bering Sea,64.20,-165.10
Norton10_336,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,8,Bottom Trawl,eastern Bering Sea,60.10,-171.00
Norton10_337,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,8,Bottom Trawl,eastern Bering Sea,60.10,-171.00
Norton10_338,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Ron Heintz, Jim Murphy, NOAA",2010,2010,,,,8,Bottom Trawl,eastern Bering Sea,60.10,-171.00
Acod12_001,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_002,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_003,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_004,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_005,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_006,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_007,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_008,UNK,Chordata,Actinopterygii,Gadiformes,Gadidae,UNK,UNK,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_009,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_010,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_011,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_012,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_013,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_014,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_015,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_016,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_017,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_018,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_019,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_020,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_021,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_022,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_023,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_024,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_025,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_026,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_027,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_028,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_029,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_030,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_031,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,1,,Bottom Trawl,Chukchi Sea,66.51052,-168.501
Acod12_032,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,2,,Bottom Trawl,Chukchi Sea,66.02792,-168.485
Acod12_033,UNK,Chordata,Actinopterygii,Gadiformes,Gadidae,UNK,UNK,"Lyle Britt, NOAA",2012,2012,201202,,2,,Bottom Trawl,Chukchi Sea,66.02792,-168.485
Acod12_034,Arctic cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,"Lyle Britt, NOAA",2012,2012,201202,,2,,Bottom Trawl,Chukchi Sea,66.02792,-168.485
