extraction_ID,Sample_Name,Collection_Date_local,Collection_Time_local,Cast_No.,Rosette_position,Station,Depth_m,Lat_dec,Lon_dec,temperature_ch1,temperature_ch2,salinity_ch1,salinity_ch2
E1101.SKQ2021,E1101.SKQ2021,11/14/2021,0:51,18,11,M8,30.806,62.20133333,-174.68,1.7756,1.7844,32.4839,32.4807
E1102.SKQ2021,E1102.SKQ2021,11/14/2021,0:51,18,17,M8,10.142,62.20133333,-174.68,1.4375,1.4362,32.4203,32.4168
E1103.SKQ2021,E1103.SKQ2021,11/14/2021,3:06,19,3,DBO1.1,73.516,62.0115,-175.0601667,2.031,2.0295,32.6984,32.6952
E1104.SKQ2021,E1104.SKQ2021,11/14/2021,3:06,19,12,DBO1.1,30.066,62.0115,-175.0601667,2.0633,2.0595,32.6643,32.66
E1105.SKQ2021,E1105.SKQ2021,11/14/2021,3:06,19,18,DBO1.1,9.516,62.0115,-175.0601667,2.0344,2.0333,32.6553,32.6522
E1106.SKQ2021,E1106.SKQ2021,11/14/2021,5:06,20,3,DBO1.2,75.439,62.04883333,-175.209,1.9396,1.9381,32.7244,32.719
E1107.SKQ2021,E1107.SKQ2021,11/14/2021,5:06,20,12,DBO1.2,30.462,62.04883333,-175.209,1.9826,1.9805,32.7125,32.7091
E1108.SKQ2021,E1108.SKQ2021,11/14/2021,5:06,20,18,DBO1.2,9.925,62.04883333,-175.209,1.9962,1.9952,32.7087,32.7057
E1109.SKQ2021,E1109.SKQ2021,11/14/2021,8:01,21,3,DBO1.3,70.053,62.22016667,-174.878,1.9721,1.9709,32.6526,32.6491
E1110.SKQ2021,E1110.SKQ2021,11/14/2021,8:01,21,12,DBO1.3,30.528,62.22016667,-174.878,1.7651,1.764,32.5588,32.5558
E1111.SKQ2021,E1111.SKQ2021,11/14/2021,8:01,21,18,DBO1.3,10.258,62.22016667,-174.878,1.7116,1.7094,32.5381,32.5347
E1112.SKQ2021,E1112.SKQ2021,11/14/2021,9:58,22,3,DBO1.4,65.783,62.39033333,-174.5716667,1.3724,1.3711,32.6708,32.6677
E1113.SKQ2021,E1113.SKQ2021,11/14/2021,9:58,22,12,DBO1.4,30.456,62.39033333,-174.5716667,0.8372,0.8351,32.2788,32.1267
E1114.SKQ2021,E1114.SKQ2021,11/14/2021,9:58,22,18,DBO1.4,10.146,62.39033333,-174.5716667,0.8128,0.8145,32.2735,32.1256
E1115.SKQ2021,E1115.SKQ2021,11/14/2021,13:19,23,3,DBO1.5,62.576,62.46833333,-174.0848333,0.8258,0.8245,32.5893,32.5853
E1116.SKQ2021,E1116.SKQ2021,11/14/2021,13:19,23,12,DBO1.5,29.347,62.46833333,-174.0848333,0.9204,0.9174,32.0059,32.1511
E1117.SKQ2021,E1117.SKQ2021,11/14/2021,13:19,23,18,DBO1.5,9.903,62.46833333,-174.0848333,0.9095,0.9091,31.8985,32.1447
E1118.SKQ2021,E1118.SKQ2021,11/14/2021,15:00,24,3,DBO1.6,60.405,62.56066667,-173.5501667,0.2321,0.2305,32.3856,32.3811
E1119.SKQ2021,E1119.SKQ2021,11/14/2021,15:00,24,12,DBO1.6,30.635,62.56066667,-173.5501667,0.7794,0.778,31.9637,31.9604
E1120.SKQ2021,E1120.SKQ2021,11/14/2021,15:00,24,18,DBO1.6,10.658,62.56066667,-173.5501667,0.6453,0.6439,31.8792,31.8755
E1121.SKQ2021,E1121.SKQ2021,11/14/2021,18:51,25,3,DBO1.7,65.577,62.7875,-173.5005,-0.1853,-0.1861,32.2983,32.2937
E1122.SKQ2021,E1122.SKQ2021,11/14/2021,18:51,25,12,DBO1.7,30.73,62.7875,-173.5005,0.3477,0.3466,31.7393,31.7358
E1123.SKQ2021,E1123.SKQ2021,11/14/2021,18:51,25,18,DBO1.7,10.64,62.7875,-173.5005,0.3166,0.3161,31.7336,31.73
E1124.SKQ2021,E1124.SKQ2021,11/14/2021,20:50,26,3,DBO1.8,64.517,63.03016667,-173.4611667,0.0124,0.0112,32.5501,32.5462
E1125.SKQ2021,E1125.SKQ2021,11/14/2021,20:50,26,12,DBO1.8,30.277,63.03016667,-173.4611667,0.4946,0.4922,31.702,31.6981
E1126.SKQ2021,E1126.SKQ2021,11/14/2021,20:50,26,18,DBO1.8,10.547,63.03016667,-173.4611667,0.472,0.47,31.6958,31.6922
E1127.SKQ2021,E1127.SKQ2021,11/15/2021,0:34,27,3,DBO1.9,59.981,63.27966667,-173.281,0.487,0.4858,32.6294,32.6256
E1128.SKQ2021,E1128.SKQ2021,11/15/2021,0:34,27,12,DBO1.9,31.139,63.27966667,-173.281,0.5573,0.5467,31.7153,31.709
E1129.SKQ2021,E1129.SKQ2021,11/15/2021,0:34,27,18,DBO1.9,10.526,63.27966667,-173.281,0.5134,0.5118,31.705,31.7011
