"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon","genus","family","order","class","phylum","kingdom"
"141","ASV_0952","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"142","ASV_0958","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"143","ASV_0960","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"144","ASV_0966","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"145","ASV_0970","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"146","ASV_0981","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"147","ASV_0982","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"148","ASV_0985","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"149","ASV_0990","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"150","ASV_0996","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"151","ASV_0999","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"152","ASV_1002","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"153","ASV_1006","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"154","ASV_1008","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"155","ASV_1009","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"156","ASV_1018","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"157","ASV_1023","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"158","ASV_1026","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"159","ASV_1030","Oncorhynchus kisutch",99.408,99.408,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"160","ASV_1031","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"161","ASV_1035","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"162","ASV_1040","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"163","ASV_1053","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"164","ASV_1055","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"165","ASV_1056","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"166","ASV_1059","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"167","ASV_1072","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"168","ASV_1075","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"169","ASV_1078","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"170","ASV_1087","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"171","ASV_1092","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"172","ASV_1093","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"173","ASV_1108","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"174","ASV_1114","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"175","ASV_1127","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"176","ASV_1128","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"177","ASV_1131","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"178","ASV_1149","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"179","ASV_1158","Oncorhynchus keta",100,100,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"180","ASV_1161","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
